"FrP" "Skepsis" "Utjevn" "Inntekt" "Utdanning" "Kvinne"
"455" 0 5.33333333333333 3 7 12 1
"476" 0 7.66666666666667 2 4 15 1
"483" 1 6 2 1 13 1
"484" 1 4.66666666666667 3 1 13 0
"486" 1 6.66666666666667 2 8 13 0
"488" 0 3.66666666666667 3 2 11 1
"492" 1 2.33333333333333 4 4 17 0
"496" 0 2.66666666666667 3 7 15 0
"498" 0 5.33333333333333 4 5 14 0
"499" 1 4.33333333333333 2 2 11 0
"501" 0 4 1 4 15 1
"507" 0 3.33333333333333 2 3 17 0
"508" 0 6 4 4 17 0
"510" 1 7 1 2 12 1
"512" 0 5.66666666666667 4 10 14 0
"518" 0 8 2 6 14 1
"522" 0 3 2 3 22 0
"530" 0 2.33333333333333 2 3 20 1
"531" 1 5.66666666666667 3 1 7 0
"532" 1 5.66666666666667 5 2 13 0
"534" 0 4.33333333333333 3 9 13 0
"537" 0 2.33333333333333 5 10 15 0
"540" 0 5.33333333333333 4 4 18 0
"543" 1 8.66666666666667 1 4 12 0
"544" 1 4 1 4 11 0
"547" 0 7 4 6 14 0
"552" 0 5.66666666666667 3 1 18 1
"553" 0 3.33333333333333 2 4 13 1
"556" 0 5.33333333333333 3 3 16 1
"560" 1 4.33333333333333 4 10 15 0
"561" 0 5.66666666666667 3 10 16 0
"564" 1 4.66666666666667 3 6 11 0
"566" 0 3 2 8 14 0
"569" 0 3.33333333333333 2 7 10 1
"571" 0 3.66666666666667 2 9 18 0
"575" 0 4.33333333333333 1 6 15 1
"576" 0 6 2 4 13 1
"577" 1 7 3 6 7 0
"580" 0 6.66666666666667 2 3 10 0
"581" 1 9.5 2 1 10 1
"583" 0 3.66666666666667 3 7 14 1
"588" 0 5.66666666666667 2 3 13 0
"593" 1 5 2 9 14 0
"596" 0 3.66666666666667 4 3 13 0
"598" 0 2.66666666666667 2 5 12 0
"599" 1 7 3 4 18 0
"601" 0 7 2 10 13 0
"604" 0 7 1 7 13 0
"607" 1 5.66666666666667 2 1 7 0
"608" 0 2 4 10 14 0
"614" 0 5.33333333333333 3 8 16 0
"615" 1 6 1 1 9 1
"619" 0 5.33333333333333 2 7 4 1
"620" 1 6 1 9 11 0
"623" 0 5.33333333333333 1 7 12 0
"624" 1 3.33333333333333 2 3 15 1
"626" 0 2.66666666666667 5 3 22 1
"631" 0 3.66666666666667 3 9 17 1
"632" 0 4 4 NA 12 0
"634" 0 5.33333333333333 3 5 10 0
"636" 0 4.66666666666667 3 6 14 0
"637" 1 5.33333333333333 5 5 16 0
"639" 0 3.66666666666667 2 5 17 1
"641" 0 3.33333333333333 2 6 14 0
"642" 0 4.33333333333333 4 6 20 0
"644" 0 3 3 3 13 0
"646" 1 5.33333333333333 4 5 14 1
"650" 0 4.33333333333333 3 8 17 1
"651" 1 6 2 2 12 0
"653" 1 6 2 7 15 0
"655" 0 6.66666666666667 4 7 3 0
"661" 0 4.33333333333333 2 10 16 1
"663" 1 9.33333333333333 2 8 15 0
"668" 0 4.66666666666667 2 7 15 0
"672" 0 4.33333333333333 3 10 12 1
"674" 0 4 2 7 11 1
"676" 0 3 1 NA 16 1
"679" 0 5.33333333333333 4 10 12 0
"681" 0 4.33333333333333 3 10 17 0
"686" 0 5.33333333333333 1 1 18 1
"687" 1 7 3 3 11 0
"688" 0 7.33333333333333 4 7 17 1
"691" 0 5 2 NA 13 1
"695" 0 4.66666666666667 3 8 14 1
"696" 0 6.33333333333333 4 5 13 1
"697" 1 5.66666666666667 1 6 12 1
"698" 0 5 4 4 14 0
"702" 0 7.66666666666667 4 10 17 0
"707" 1 NA 3 2 23 1
"708" 1 6.33333333333333 3 NA 14 0
"710" 0 5 4 5 17 1
"715" 1 5.66666666666667 3 7 16 0
"720" 0 3.33333333333333 4 4 16 0
"725" 0 4.33333333333333 3 2 11 0
"727" 1 3.33333333333333 3 7 12 0
"728" 0 4.33333333333333 2 5 16 0
"729" 1 5.66666666666667 2 8 12 0
"730" 0 3.33333333333333 3 4 17 1
"734" 0 3 5 6 14 0
"737" 0 3.66666666666667 2 9 14 1
"740" 1 7.66666666666667 2 3 13 1
"741" 1 5.66666666666667 4 2 20 0
"742" 0 3.66666666666667 4 1 17 1
"743" 0 5.33333333333333 2 4 13 1
"746" 0 4.66666666666667 3 8 10 1
"748" 0 7 3 1 15 1
"751" 0 5 3 4 11 1
"756" 0 5.33333333333333 4 8 13 1
"762" 1 3.66666666666667 2 4 9 0
